,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9200.0,9500.0,10000.0,10500.0,11000.0,11500.0,12000.0
1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3.49765378363065e-05,0.999974,0.999976,0.999978,0.99998,0.999981,0.999982,0.999983,0.999984,0.999984,0.999985,0.999986,0.999986,0.999987,0.999987
3,6.9953075672613e-05,0.999948,0.999953,0.999957,0.99996,0.999962,0.999965,0.999967,0.999967,0.999968,0.99997,0.999971,0.999972,0.999973,0.999974
4,0.00010492961350892,0.999923,0.999929,0.999935,0.999939,0.999943,0.999947,0.99995,0.999951,0.999953,0.999955,0.999957,0.999959,0.99996,0.999961
5,0.000139906151345226,0.999897,0.999906,0.999913,0.999919,0.999925,0.999929,0.999933,0.999935,0.999937,0.99994,0.999942,0.999945,0.999947,0.999948
6,0.000174882689181533,0.999871,0.999882,0.999891,0.999899,0.999906,0.999912,0.999917,0.999918,0.999921,0.999925,0.999928,0.999931,0.999933,0.999935
7,0.000209859261924424,0.999845,0.999858,0.999869,0.999879,0.999887,0.999894,0.9999,0.999902,0.999905,0.99991,0.999914,0.999917,0.99992,0.999922
8,0.000244835834667316,0.999819,0.999835,0.999848,0.999859,0.999868,0.999876,0.999883,0.999886,0.999889,0.999895,0.999899,0.999903,0.999906,0.999909
9,0.000279812232877282,0.999793,0.999811,0.999826,0.999838,0.999849,0.999858,0.999866,0.999869,0.999873,0.999879,0.999885,0.999889,0.999893,0.999896
10,0.000314788805620174,0.999767,0.999787,0.999804,0.999818,0.99983,0.999841,0.99985,0.999853,0.999857,0.999864,0.99987,0.999875,0.999879,0.999883
11,0.000349765378363065,0.999741,0.999763,0.999782,0.999798,0.999811,0.999823,0.999833,0.999836,0.999841,0.999849,0.999855,0.999861,0.999866,0.99987
12,0.000384741951105957,0.999716,0.99974,0.99976,0.999777,0.999792,0.999805,0.999816,0.99982,0.999825,0.999834,0.999841,0.999847,0.999852,0.999856
13,0.000419718523848848,0.99969,0.999716,0.999738,0.999757,0.999773,0.999787,0.999799,0.999803,0.999809,0.999818,0.999826,0.999833,0.999838,0.999843
14,0.000454694922058815,0.999663,0.999692,0.999716,0.999736,0.999754,0.999769,0.999782,0.999786,0.999793,0.999803,0.999811,0.999818,0.999824,0.99983
15,0.000489671494801706,0.999637,0.999668,0.999694,0.999716,0.999735,0.999751,0.999765,0.99977,0.999777,0.999787,0.999796,0.999804,0.99981,0.999816
16,0.000524648067544598,0.999611,0.999644,0.999672,0.999695,0.999715,0.999733,0.999748,0.999753,0.99976,0.999771,0.999781,0.999789,0.999796,0.999802
17,0.000559624640287489,0.999585,0.99962,0.999649,0.999674,0.999696,0.999714,0.99973,0.999736,0.999744,0.999756,0.999766,0.999775,0.999782,0.999789
18,0.000594601213030381,0.999559,0.999596,0.999627,0.999654,0.999676,0.999696,0.999713,0.999719,0.999727,0.99974,0.999751,0.99976,0.999768,0.999775
19,0.000629577785773273,0.999532,0.999572,0.999605,0.999633,0.999657,0.999678,0.999695,0.999702,0.999711,0.999724,0.999735,0.999745,0.999754,0.999761
20,0.000664554183983239,0.999506,0.999547,0.999582,0.999612,0.999637,0.999659,0.999678,0.999685,0.999694,0.999708,0.99972,0.99973,0.999739,0.999746
21,0.00069953075672613,0.99948,0.999523,0.99956,0.999591,0.999618,0.999641,0.99966,0.999667,0.999677,0.999692,0.999704,0.999715,0.999724,0.999732
22,0.000734507329469022,0.999453,0.999499,0.999537,0.99957,0.999598,0.999622,0.999643,0.99965,0.99966,0.999676,0.999689,0.9997,0.99971,0.999718
23,0.000769483902211914,0.999426,0.999474,0.999515,0.999549,0.999578,0.999603,0.999625,0.999632,0.999643,0.999659,0.999673,0.999685,0.999695,0.999703
24,0.000804460474954805,0.9994,0.99945,0.999492,0.999528,0.999558,0.999584,0.999607,0.999615,0.999626,0.999643,0.999657,0.999669,0.999679,0.999688
